filename,nearest_region,poverty_level
10.0028716514_8.863027769988006_10.0028716514_8.877999691389999.png,Plateau,30-40
10.0028716514_8.89297161279199_10.0028716514_8.877999691389999.png,Plateau,30-40
10.017843572801992_8.833083927184022_10.0028716514_8.877999691389999.png,Plateau,30-40
10.017843572801992_8.848055848586014_10.0028716514_8.877999691389999.png,Plateau,30-40
10.017843572801992_8.863027769988006_10.0028716514_8.877999691389999.png,Plateau,30-40
10.017843572801992_8.907943534193983_10.0028716514_8.877999691389999.png,Plateau,30-40
10.029472774996016_8.582877147633985_10.0594166178_8.55293330483.png,Plateau,30-40
10.032815494203984_8.863027769988006_10.0028716514_8.877999691389999.png,Plateau,30-40
10.044718453896015_9.563723893414023_10.0746622967_9.60863965762.png,Plateau,30-40
10.044718453896015_9.593667736218007_10.0746622967_9.60863965762.png,Plateau,30-40
10.044718453896015_9.623611579021992_10.0746622967_9.60863965762.png,Plateau,30-40
10.0746622967_9.578695814816015_10.0746622967_9.60863965762.png,Plateau,30-40
10.0746622967_9.638583500423984_10.0746622967_9.60863965762.png,Plateau,30-40
10.0746622967_9.653555421825976_10.0746622967_9.60863965762.png,Plateau,30-40
10.089634218101992_9.60863965762_10.0746622967_9.60863965762.png,Plateau,30-40
10.089634218101992_9.653555421825976_10.0746622967_9.60863965762.png,Plateau,30-40
10.104606139503984_9.623611579021992_10.0746622967_9.60863965762.png,Plateau,30-40
10.104606139503984_9.638583500423984_10.0746622967_9.60863965762.png,Plateau,30-40
10.119578060905976_9.563723893414023_10.0746622967_9.60863965762.png,Plateau,30-40
10.119578060905976_9.578695814816015_10.0746622967_9.60863965762.png,Plateau,30-40
10.241308921794024_9.637662894930001_10.286224686_9.637662894930001.png,Plateau,30-40
10.256280843196016_9.652634816331993_10.286224686_9.637662894930001.png,Plateau,30-40
10.271252764598009_9.652634816331993_10.286224686_9.637662894930001.png,Plateau,30-40
10.286224686_9.607719052126017_10.286224686_9.637662894930001.png,Plateau,30-40
10.286224686_9.637662894930001_10.286224686_9.637662894930001.png,Plateau,30-40
10.301196607401993_9.592747130724025_10.286224686_9.637662894930001.png,Plateau,30-40
10.301196607401993_9.607719052126017_10.286224686_9.637662894930001.png,Plateau,30-40
10.316168528803985_9.592747130724025_10.286224686_9.637662894930001.png,Plateau,30-40
10.316168528803985_9.637662894930001_10.286224686_9.637662894930001.png,Plateau,30-40
10.322065923694023_9.457791493814023_10.3669816879_9.50270725802.png,Plateau,30-40
10.322065923694023_9.50270725802_10.3669816879_9.50270725802.png,Plateau,30-40
10.331140450205977_9.607719052126017_10.286224686_9.637662894930001.png,Plateau,30-40
10.337037845096015_9.50270725802_10.3669816879_9.50270725802.png,Plateau,30-40
10.337037845096015_9.547623022225975_10.3669816879_9.50270725802.png,Plateau,30-40
10.352009766498007_9.517679179421991_10.3669816879_9.50270725802.png,Plateau,30-40
10.3669816879_9.50270725802_10.3669816879_9.50270725802.png,Plateau,30-40
10.3669816879_9.532651100823983_10.3669816879_9.50270725802.png,Plateau,30-40
10.381953609301991_9.457791493814023_10.3669816879_9.50270725802.png,Plateau,30-40
10.396925530703983_9.487735336618007_10.3669816879_9.50270725802.png,Plateau,30-40
10.396925530703983_9.532651100823983_10.3669816879_9.50270725802.png,Plateau,30-40
